"","lfd","long","lat","hunde","type"
"1",1,7.63179,49.00256,"Hund","nd"
"2",2,7.71622,49.05104,"Hund","nd"
"3",3,7.69364,49.03549,"Hund","nd"
"4",4,7.71501,49.0295,"Hund","nd"
"5",5,7.81729,49.02601,"Hund","nd"
"6",6,7.78942,49.00701,"Hund","nd"
"7",7,7.91271,49.0377,"Hunde","nd"
"8",8,7.9521,49.03733,"Hind","nd"
"9",9,7.96964,49.03158,"Hund","nd"
"10",10,7.91304,49.02495,"Hund","nd"
"11",11,7.91832,49.01679,"Hund","nd"
"12",12,7.93035,49.0109,"Hund","nd"
"13",13,7.89318,49.00093,"Hund","nd"
"14",14,7.85041,49.01803,"Hund","nd"
"15",15,6.99156,48.9525,"Hinn ","nn"
"16",16,6.98122,48.93023,"Hinn ","nn"
"17",17,7.12881,49.00062,"H¡<U+0364>nn , Hunn","nn"
"18",18,7.54562,48.65481,"2 Hunn, 1 Hund","nd"
"19",19,7.15171,48.95143,"Hunn","nn"
"20",20,7.12568,48.92923,"Hund","nd"
"21",21,7.08411,48.9218,"Hunn","nn"
"22",22,7.08686,48.93919,"Hienn","nn"
"23",23,7.08686,48.93919,"Hinn ","nn"
"24",24,7.04339,48.96955,"Hund","nd"
"25",25,7.05316,48.94524,"Hunn","nn"
"26",26,7.0389,48.93409,"Hinn","nn"
"27",27,7.02465,48.94167,"Hunn","nn"
"28",28,7.19095,48.98016,"Hund","nd"
"29",29,7.2205,48.97095,"Hund, Hunn","nd"
"30",30,7.23978,48.95501,"Hunn","nn"
"31",31,7.1752,48.95249,"Hunn","nn"
"32",32,7.18685,48.94061,"Hunn","nn"
"33",33,7.37883,48.72585,"Hunn","nn"
"34",34,7.21529,48.92578,"Hund","nd"
"35",35,7.33838,48.9327,"Hinn","nn"
"36",36,7.38129,48.91753,"Hünd","nd"
"37",37,7.46373,48.93214,"Hund","nd"
"38",38,7.6082,48.94109,"Hind","nd"
"39",39,7.64282,48.95108,"Hund, Hend","nd"
"40",40,7.64282,48.95108,"Hund","nd"
"41",41,7.64282,48.95108,"Hend","nd"
"42",42,7.66338,48.93223,"Hund","nd"
"43",43,7.83111,48.99355,"Hund","nd"
"44",44,7.7613,48.98757,"Hund","nd"
"45",45,7.81713,48.95698,"Hund","nd"
"46",46,7.13172,48.87095,"Hund","nd"
"47",47,7.76782,48.95111,"Hu<U+033D>nd","nd"
"48",48,7.80425,48.9435,"Hynd","nd"
"49",49,7.82707,48.93886,"Hund","nd"
"50",50,7.77425,48.93532,"Hund","nd"
"51",51,7.75696,48.92512,"Hund","nd"
"52",52,7.74374,48.93677,"Hund","nd"
"53",53,7.72171,48.94318,"Hund","nd"
"54",54,7.70322,48.96072,"Hund","nd"
"55",55,7.73367,48.96812,"Hund, Hind(e)","nd"
"56",56,7.95195,48.99281,"Hund","nd"
"57",57,7.90023,48.986,"Hund","nd"
